,precision,recall,f1-score,support
121141,0.5,1.0,0.6666666666666666,2.0
114162,0.0,0.0,0.0,2.0
111203,0.5,1.0,0.6666666666666666,2.0
146112,0.0,0.0,0.0,2.0
158101,1.0,0.5,0.6666666666666666,2.0
158112,0.0,0.0,0.0,2.0
158123,0.0,0.0,0.0,2.0
158142,0.0,0.0,0.0,2.0
158173,0.0,0.0,0.0,2.0
161201,0.1,0.5,0.16666666666666666,2.0
204111,0.16666666666666666,0.5,0.25,2.0
194151,0.0,0.0,0.0,2.0
214172,0.4,1.0,0.5714285714285714,2.0
224123,0.0,0.0,0.0,2.0
accuracy,0.5206243032329989,0.5206243032329989,0.5206243032329989,0.5206243032329989
